x,y,Clay,Silt,Sand,Sinif,coloration_mean_Manyas,GNDVI_mean_Manyas,GRVI_mean_Manyas,Manyas_HGK_SYM_30m_Resample_2,ndvi_mean_Manyas,Planform_curvature_Manyas_2,Profile_curvature_Manyas_2,saturation_mean_Manyas,Slope_Manyas2,SPI_Manyas_2,TWI_Manyas_2
590401.497000,4455835.295000,52.459098,11.696048,35.844854,CLAY,0.04597080000,0.29298700000,-0.04597080000,27,0.42420800000,0.00000000000,0.00000000000,0.28644100000,3.77308000000,1.91568000000,8.47024000000
589961.541000,4457282.692000,63.922477,19.360064,16.717459,CLAY,0.06779940000,0.16385900000,-0.06779940000,24,0.24144000000,0.08333330000,-0.13888900000,0.23991300000,1.76777000000,0.46435600000,8.53526000000
592603.557000,4457284.468000,53.418375,20.104596,26.477029,CLAY,0.07938710000,0.22834600000,-0.07938710000,38,0.30676700000,0.00000000000,0.00000000000,0.27088000000,2.94628000000,-0.12343000000,6.92583000000
591192.071000,4458161.194000,48.806659,24.123216,27.070125,CLAY,0.05059190000,0.29355700000,-0.05059190000,60,0.40556200000,0.00000000000,0.22222200000,0.27751600000,3.33333000000,1.79176000000,8.59415000000
587654.207000,4458482.376000,33.359729,12.325224,54.315047,SandyClayLoam,0.07917010000,0.28434800000,-0.07917010000,84,0.37331600000,0.66666700000,-0.22222200000,0.31552000000,3.77308000000,0.12391800000,6.67848000000
587485.494000,4457526.360000,28.529650,17.594108,53.876242,SandyClayLoam,0.08449750000,0.31690000000,-0.08449750000,73,0.42370200000,0.08333330000,-0.13888900000,0.28352800000,6.48181000000,2.61094000000,8.08328000000
573062.986000,4460357.115000,52.970966,20.337372,26.691662,CLAY,0.11727100000,0.28867500000,-0.11727100000,116,0.36997500000,-0.00600601000,-0.45045000000,0.29006100000,20.15560000000,2.89812000000,6.10150000000
569506.503000,4458469.432000,37.148827,15.543895,47.307278,SandyClay,0.11780700000,0.21105600000,-0.11780700000,153,0.29019600000,0.00000000000,0.00000000000,0.23828600000,4.71405000000,1.95601000000,8.06526000000
568735.239000,4449514.143000,28.313621,3.001473,68.684906,SandyClayLoam,-0.03266170000,0.45059100000,0.03266170000,70,0.63154200000,-0.11666700000,0.32777800000,0.29894800000,5.55903000000,7.64475000000,13.42420000000
570567.261000,4446148.577000,57.884288,19.335008,22.780704,CLAY,-0.01369770000,0.30854000000,0.01369770000,25,0.46921300000,0.00000000000,0.00000000000,0.21404600000,0.00000000000,-0.79850800000,13.01700000000
569901.902000,4446795.306000,64.608981,14.000633,21.390386,CLAY,0.05387770000,0.32363500000,-0.05387770000,33,0.43504900000,0.00000000000,0.11111100000,0.29790300000,1.66667000000,0.40546500000,8.59415000000
571008.614000,4445627.384000,34.062693,21.811125,44.126182,ClayLoam,-0.03509450000,0.39196200000,0.03509450000,24,0.57211700000,0.00000000000,0.00000000000,0.27754200000,0.00000000000,-1.89712000000,11.91840000000
567672.474000,4442890.876000,71.457539,14.070487,14.471974,CLAY,0.02552930000,0.35530000000,-0.02552930000,100,0.46120200000,0.00000000000,0.00000000000,0.33784000000,0.58925600000,0.56971700000,10.83780000000
567708.661000,4444020.907000,33.765159,20.587907,45.646934,SandyClayLoam,0.04283330000,0.33969100000,-0.04283330000,82,0.47745100000,0.34444400000,-0.10000000000,0.27578000000,4.48764000000,0.29735300000,6.50504000000
570035.236000,4445557.871000,54.890813,21.168045,23.941142,CLAY,0.09524510000,0.26754900000,-0.09524510000,35,0.35257300000,0.00000000000,-0.11111100000,0.29209600000,1.66667000000,0.69314700000,8.88184000000
571089.663000,4447200.710000,62.150131,17.088701,20.761168,CLAY,0.03093910000,0.28403700000,-0.03093910000,27,0.40822300000,0.00000000000,0.00000000000,0.22635600000,0.00000000000,-2.12026000000,11.69520000000
572186.158000,4447412.012000,66.724224,11.749416,21.526360,CLAY,0.05695860000,0.20343400000,-0.05695860000,18,0.31867100000,0.00000000000,0.00000000000,0.25567300000,1.17851000000,-1.03972000000,7.84212000000
572352.491000,4447969.617000,69.364944,18.364896,12.270160,CLAY,0.04589190000,0.24305200000,-0.04589190000,21,0.38033700000,0.00000000000,0.11111100000,0.19408600000,1.31762000000,-0.92814900000,7.73054000000
576038.318000,4453747.607000,48.753062,15.858402,35.388536,CLAY,0.07628990000,0.21139100000,-0.07628990000,110,0.25961700000,-0.07222220000,-0.07222220000,0.24496900000,5.03460000000,1.79866000000,7.77633000000
577852.094000,4455947.930000,47.337534,14.607107,38.055359,CLAY,0.09423760000,0.19198100000,-0.09423760000,85,0.25211200000,0.02777780000,0.02777780000,0.22199000000,4.75073000000,1.04747000000,7.14122000000
579517.080000,4459233.800000,52.797030,19.964621,27.238349,CLAY,0.09836690000,0.22765500000,-0.09836690000,85,0.30104200000,0.00000000000,0.00000000000,0.29018400000,0.00000000000,-1.42712000000,12.38840000000
579885.469000,4459763.537000,43.526454,18.573069,37.900477,CLAY,0.06621160000,0.29745400000,-0.06621160000,80,0.39126900000,0.00000000000,0.00000000000,0.27546900000,0.58925600000,-1.73287000000,8.53526000000
576468.097000,4461823.907000,60.056997,18.106814,21.836190,CLAY,0.06946450000,0.26089800000,-0.06946450000,85,0.36809700000,0.13888900000,-0.08333330000,0.26824700000,6.48181000000,1.76364000000,7.23598000000
577222.556000,4458070.467000,46.859286,20.825418,32.315296,CLAY,0.08904000000,0.19651000000,-0.08904000000,94,0.27686700000,0.07843140000,-0.03267970000,0.22462800000,6.87184000000,0.72345900000,6.07894000000
