"CLAY","ClayLoam","SandyClay","SandyClayLoam","SiltyClay","MeanDecreaseAccuracy","MeanDecreaseGini"
"coloration_mean_Manyas",3.12191194044902,-0.505584212407453,0,0.232237549568251,0,2.84128870793495,2.50210318649114
"GNDVI_mean_Manyas",2.34390424104694,1.68700333828344,0,2.6277543892406,0,2.91086475649775,3.05288154739477
"GRVI_mean_Manyas",0.676476918250094,-2.12855277668594,0,1.6537759730921,0,0.783495179369003,2.54776828779658
"Manyas_HGK_SYM_30m_Resample_2",-0.590308712812634,1.24837495490979,0,-0.394373927865227,0,-0.431416550649469,2.6764190442168
"ndvi_mean_Manyas",1.82145605708836,-2.04654325600769,0,2.7405410305091,0,2.41963674950131,2.43517682990505
"Planform_curvature_Manyas_2",1.2807221711079,1.02683626838753,0,2.10512038692472,0,2.39023441207013,1.78523047437686
"Profile_curvature_Manyas_2",-1.06818020362888,-3.19873781383175,0,-1.52345303706363,0,-2.48637240175168,1.2164737541899
"saturation_mean_Manyas",-0.96970637026888,-2.67338188570259,0,2.2709504824459,0,-0.678065113712715,2.09307704607117
"Slope_Manyas2",1.17389568333385,-0.94899431499894,0,0.34231792858808,0,0.982237397435067,1.65071605477272
"SPI_Manyas_2",-0.560912070440789,-2.68901723021183,0,-0.288008017174618,0,-1.77907273967923,1.88694685306481
"TWI_Manyas_2",2.7188332962043,3.06982767716269,0,0.126535575905505,0,2.99455148133111,3.45747647778503
